Date,Day of Week,Month,Full Time,Time,AM/PM,Visitor,Goals,Home,Goals.1,Att.,LOG,Lagged_attendance_1,Lagged_attendance_2,Lagged_attendance_3,Attendance_moving_avg
10/10/2023,Tue,Oct,8:00 PM,8:00,PM,Chicago Blackhawks,4,Pittsburgh Penguins,2,18411.0,2:34,,,,
10/10/2023,Tue,Oct,5:30 PM,5:30,PM,Nashville Predators,3,Tampa Bay Lightning,5,19092.0,2:33,18411.0,,,
10/10/2023,Tue,Oct,10:30 PM,10:30,PM,Seattle Kraken,1,Vegas Golden Knights,4,18724.0,2:22,19092.0,18411.0,,18742.333333333332
10/11/2023,Wed,Oct,7:30 PM,7:30,PM,Chicago Blackhawks,1,Boston Bruins,3,17850.0,2:29,18724.0,19092.0,18411.0,18555.333333333332
10/11/2023,Wed,Oct,7:00 PM,7:00,PM,Ottawa Senators,3,Carolina Hurricanes,5,18893.0,2:33,17850.0,18724.0,19092.0,18489.0
10/11/2023,Wed,Oct,10:00 PM,10:00,PM,Winnipeg Jets,3,Calgary Flames,5,17414.0,2:32,18893.0,17850.0,18724.0,18052.333333333332
10/11/2023,Wed,Oct,10:00 PM,10:00,PM,Colorado Avalanche,5,Los Angeles Kings,2,18145.0,2:37,17414.0,18893.0,17850.0,18150.666666666668
10/11/2023,Wed,Oct,7:00 PM,7:00,PM,Montreal Canadiens,5,Toronto Maple Leafs,6,18948.0,2:46,18145.0,17414.0,18893.0,18169.0
10/11/2023,Wed,Oct,10:00 PM,10:00,PM,Edmonton Oilers,1,Vancouver Canucks,8,18706.0,2:33,18948.0,18145.0,17414.0,18599.666666666668
10/12/2023,Thu,Oct,7:00 PM,7:00,PM,New York Rangers,5,Buffalo Sabres,1,19070.0,2:26,18706.0,18948.0,18145.0,18908.0
10/12/2023,Thu,Oct,7:00 PM,7:00,PM,Philadelphia Flyers,4,Columbus Blue Jackets,2,18614.0,2:26,19070.0,18706.0,18948.0,18796.666666666668
10/12/2023,Thu,Oct,8:00 PM,8:00,PM,St. Louis Blues,1,Dallas Stars,2,18532.0,2:40,18614.0,19070.0,18706.0,18738.666666666668
10/12/2023,Thu,Oct,8:00 PM,8:00,PM,Florida Panthers,0,Minnesota Wild,2,18976.0,2:37,18532.0,18614.0,19070.0,18707.333333333332
10/12/2023,Thu,Oct,7:30 PM,7:30,PM,Detroit Red Wings,3,New Jersey Devils,4,16514.0,2:29,18976.0,18532.0,18614.0,18007.333333333332
10/12/2023,Thu,Oct,8:00 PM,8:00,PM,Seattle Kraken,0,Nashville Predators,3,17629.0,2:21,16514.0,18976.0,18532.0,17706.333333333332
10/12/2023,Thu,Oct,10:30 PM,10:30,PM,Vegas Golden Knights,4,San Jose Sharks,1,17435.0,2:28,17629.0,16514.0,18976.0,17192.666666666668
10/13/2023,Fri,Oct,7:00 PM,7:00,PM,Arizona Coyotes,4,New Jersey Devils,3,16514.0,2:43,17435.0,17629.0,16514.0,17192.666666666668
10/13/2023,Fri,Oct,7:30 PM,7:30,PM,Pittsburgh Penguins,4,Washington Capitals,0,18573.0,2:34,16514.0,17435.0,17629.0,17507.333333333332
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,Nashville Predators,2,Boston Bruins,3,17850.0,2:33,18573.0,16514.0,17435.0,17645.666666666668
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,New York Rangers,3,Columbus Blue Jackets,5,16520.0,2:34,17850.0,18573.0,16514.0,17647.666666666668
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,Tampa Bay Lightning,4,Detroit Red Wings,6,19515.0,2:28,16520.0,17850.0,18573.0,17961.666666666668
10/14/2023,Sat,Oct,10:00 PM,10:00,PM,Vancouver Canucks,4,Edmonton Oilers,3,18347.0,2:30,19515.0,16520.0,17850.0,18127.333333333332
10/14/2023,Sat,Oct,10:30 PM,10:30,PM,Carolina Hurricanes,6,Los Angeles Kings,5,17517.0,2:57,18347.0,19515.0,16520.0,18459.666666666668
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,Chicago Blackhawks,2,Montreal Canadiens,3,21105.0,2:26,17517.0,18347.0,19515.0,18989.666666666668
10/14/2023,Sat,Oct,7:30 PM,7:30,PM,Buffalo Sabres,2,New York Islanders,3,17255.0,2:29,21105.0,17517.0,18347.0,18625.666666666668
10/14/2023,Sat,Oct,1:00 PM,1:00,PM,Philadelphia Flyers,2,Ottawa Senators,5,20011.0,2:30,17255.0,21105.0,17517.0,19457.0
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,Calgary Flames,2,Pittsburgh Penguins,5,17635.0,2:30,20011.0,17255.0,21105.0,18300.333333333332
10/14/2023,Sat,Oct,10:00 PM,10:00,PM,Colorado Avalanche,2,San Jose Sharks,1,17435.0,2:46,17635.0,20011.0,17255.0,18360.333333333332
10/14/2023,Sat,Oct,8:00 PM,8:00,PM,Seattle Kraken,1,St. Louis Blues,2,18096.0,2:33,17435.0,17635.0,20011.0,17722.0
10/14/2023,Sat,Oct,7:00 PM,7:00,PM,Minnesota Wild,4,Toronto Maple Leafs,7,18903.0,2:36,18096.0,17435.0,17635.0,18144.666666666668
10/14/2023,Sat,Oct,10:00 PM,10:00,PM,Anaheim Ducks,1,Vegas Golden Knights,4,18033.0,2:35,18903.0,18096.0,17435.0,18344.0
10/14/2023,Sat,Oct,4:00 PM,4:00,PM,Florida Panthers,4,Winnipeg Jets,6,13410.0,2:32,18033.0,18903.0,18096.0,16782.0
10/15/2023,Sun,Oct,8:30 PM,8:30,PM,Carolina Hurricanes,3,Anaheim Ducks,6,17278.0,2:32,13410.0,18033.0,18903.0,16240.333333333334
10/15/2023,Sun,Oct,7:00 PM,7:00,PM,Tampa Bay Lightning,2,Ottawa Senators,5,15584.0,2:27,17278.0,13410.0,18033.0,15424.0
10/16/2023,Mon,Oct,7:00 PM,7:00,PM,Detroit Red Wings,4,Columbus Blue Jackets,0,14959.0,2:25,15584.0,17278.0,13410.0,15940.333333333334
10/16/2023,Mon,Oct,7:00 PM,7:00,PM,Florida Panthers,4,New Jersey Devils,3,15023.0,2:30,14959.0,15584.0,17278.0,15188.666666666666
10/16/2023,Mon,Oct,7:00 PM,7:00,PM,Arizona Coyotes,1,New York Rangers,2,18006.0,2:29,15023.0,14959.0,15584.0,15996.0
10/16/2023,Mon,Oct,7:00 PM,7:00,PM,Chicago Blackhawks,4,Toronto Maple Leafs,1,19101.0,2:37,18006.0,15023.0,14959.0,17376.666666666668
10/16/2023,Mon,Oct,7:00 PM,7:00,PM,Calgary Flames,2,Washington Capitals,3,16489.0,2:43,19101.0,18006.0,15023.0,17865.333333333332
10/17/2023,Tue,Oct,7:30 PM,7:30,PM,Tampa Bay Lightning,2,Buffalo Sabres,3,12598.0,2:27,16489.0,19101.0,18006.0,16062.666666666666
10/17/2023,Tue,Oct,7:00 PM,7:00,PM,Minnesota Wild,5,Montreal Canadiens,2,21105.0,2:36,12598.0,16489.0,19101.0,16730.666666666668
10/17/2023,Tue,Oct,8:00 PM,8:00,PM,Edmonton Oilers,6,Nashville Predators,1,17216.0,2:27,21105.0,12598.0,16489.0,16973.0
10/17/2023,Tue,Oct,7:30 PM,7:30,PM,Arizona Coyotes,0,New York Islanders,1,14456.0,2:22,17216.0,21105.0,12598.0,17592.333333333332
10/17/2023,Tue,Oct,6:00 PM,6:00,PM,Vancouver Canucks,0,Philadelphia Flyers,2,18883.0,2:28,14456.0,17216.0,21105.0,16851.666666666668
10/17/2023,Tue,Oct,10:00 PM,10:00,PM,Colorado Avalanche,4,Seattle Kraken,1,17151.0,2:35,18883.0,14456.0,17216.0,16830.0
10/17/2023,Tue,Oct,10:30 PM,10:30,PM,Carolina Hurricanes,6,San Jose Sharks,3,10378.0,2:33,17151.0,18883.0,14456.0,15470.666666666666
10/17/2023,Tue,Oct,10:30 PM,10:30,PM,Dallas Stars,2,Vegas Golden Knights,3,17612.0,2:47,10378.0,17151.0,18883.0,15047.0
10/17/2023,Tue,Oct,8:00 PM,8:00,PM,Los Angeles Kings,5,Winnipeg Jets,1,11226.0,2:24,17612.0,10378.0,17151.0,13072.0
10/18/2023,Wed,Oct,7:30 PM,7:30,PM,Pittsburgh Penguins,3,Detroit Red Wings,6,18895.0,2:31,11226.0,17612.0,10378.0,15911.0
10/18/2023,Wed,Oct,7:00 PM,7:00,PM,Washington Capitals,1,Ottawa Senators,6,15021.0,2:31,18895.0,11226.0,17612.0,15047.333333333334
10/19/2023,Thu,Oct,10:00 PM,10:00,PM,Dallas Stars,3,Anaheim Ducks,2,14274.0,2:23,15021.0,18895.0,11226.0,16063.333333333334
10/19/2023,Thu,Oct,7:00 PM,7:00,PM,Calgary Flames,4,Buffalo Sabres,3,13025.0,2:34,14274.0,15021.0,18895.0,14106.666666666666
10/19/2023,Thu,Oct,10:30 PM,10:30,PM,Chicago Blackhawks,0,Colorado Avalanche,4,18140.0,2:24,13025.0,14274.0,15021.0,15146.333333333334
10/19/2023,Thu,Oct,7:00 PM,7:00,PM,Toronto Maple Leafs,1,Florida Panthers,3,19288.0,2:30,18140.0,13025.0,14274.0,16817.666666666668
10/19/2023,Thu,Oct,8:00 PM,8:00,PM,Los Angeles Kings,7,Minnesota Wild,3,18689.0,2:35,19288.0,18140.0,13025.0,18705.666666666668
10/19/2023,Thu,Oct,7:00 PM,7:00,PM,Nashville Predators,4,New York Rangers,1,18006.0,2:24,18689.0,19288.0,18140.0,18661.0
10/19/2023,Thu,Oct,7:30 PM,7:30,PM,Edmonton Oilers,1,Philadelphia Flyers,4,17590.0,2:29,18006.0,18689.0,19288.0,18095.0
10/19/2023,Thu,Oct,10:00 PM,10:00,PM,Carolina Hurricanes,4,Seattle Kraken,7,17151.0,2:36,17590.0,18006.0,18689.0,17582.333333333332
10/19/2023,Thu,Oct,10:30 PM,10:30,PM,Boston Bruins,3,San Jose Sharks,1,12501.0,2:30,17151.0,17590.0,18006.0,15747.333333333334
10/19/2023,Thu,Oct,8:00 PM,8:00,PM,Arizona Coyotes,6,St. Louis Blues,2,18096.0,2:35,12501.0,17151.0,17590.0,15916.0
